title,year,release_date,vote_average,vote_count,revenue,budget,runtime
Monsieur Verdoux,1947,1947-09-26,7.697,439,0,2000000,124
For Love and Gold,1966,1966-04-07,7.697,374,1314230,0,120
Azur & Asmar: The Princes' Quest,2006,2006-10-25,7.696,641,0,0,99
Fireworks,1997,1997-10-30,7.695,722,0,0,103
Little Miss Sunshine,2006,2006-07-26,7.695,7372,100523181,8000000,102
If Anything Happens I Love You,2020,2020-03-07,7.694,939,0,0,12
Cousins,2019,2019-12-10,7.694,338,0,0,83
Embrace of the Serpent,2015,2015-05-25,7.694,474,1320005,1400000,125
Spirit: Stallion of the Cimarron,2002,2002-05-24,7.694,4715,122563539,80000000,83
Divines,2016,2016-08-31,7.693,666,0,2791874,105
Boys,2014,2014-01-08,7.693,706,0,0,78
My Little Pony: A New Generation,2021,2021-09-22,7.692,320,4100000,0,90
Hiroshima Mon Amour,1959,1959-06-10,7.692,852,3193,0,92
Sonic the Hedgehog 3,2024,2024-12-19,7.689,2772,492162604,122000000,110
Onibaba,1964,1964-11-21,7.7,437,0,0,105
Belle,2021,2021-07-16,7.7,785,63501160,0,121
The Martian,2015,2015-09-30,7.69,20271,631058917,108000000,141
The Killer,2022,2022-07-13,7.687,391,595112,0,95
Black Swan,2010,2010-12-03,7.687,14878,329398046,13000000,109
The Princess Bride,1987,1987-09-25,7.687,4756,30900000,16000000,99
Rurouni Kenshin: The Beginning,2021,2021-06-04,7.686,488,0,0,138
Descendants 3,2019,2019-08-02,7.686,1553,0,15000000,106
Sleuth,1972,1972-12-10,7.686,652,5750000,3500000,138
Aftersun,2022,2022-10-21,7.7,1584,7834405,0,101
Prey,2022,2022-08-02,7.685,7105,0,65000000,100
The Trial of the Chicago 7,2020,2020-09-25,7.684,3146,107423,35000000,130
The Gentlemen,2020,2020-01-01,7.684,6127,115171795,22000000,113
"No manches, Frida",2016,2016-09-02,7.684,919,23500000,5000000,100
A Charlie Brown Christmas,1965,1965-12-09,7.7,722,0,96000,25
Kabhi Khushi Kabhie Gham,2001,2001-12-14,7.684,567,0,0,209
Harry Potter and the Half-Blood Prince,2009,2009-07-15,7.684,19973,933959197,250000000,153
Constantine: City of Demons - The Movie,2018,2018-10-04,7.683,616,0,0,90
Cléo from 5 to 7,1962,1962-04-11,7.683,720,0,0,90
The Outlaws,2017,2017-10-03,7.682,472,52946454,5900000,121
Mysterious Skin,2005,2005-03-30,7.7,1144,2148548,3000000,105
Moonrise Kingdom,2012,2012-05-16,7.68,6028,68263166,16000000,94
Fallen Angels,1995,1995-09-06,7.7,1149,0,0,98
Batman and Superman: Battle of the Super Sons,2022,2022-10-17,7.679,315,0,0,80
The Holdovers,2023,2023-10-27,7.677,2042,42513270,13000000,133
The Count of Monte Cristo,2002,2002-01-23,7.678,1871,75395048,35000000,131
Poor Things,2023,2023-12-07,7.7,4821,117607117,35000000,141
Tetris,2023,2023-03-15,7.676,1482,0,0,118
Bacurau,2019,2019-08-29,7.676,1072,3554178,1430000,131
How to Train Your Dragon 2,2014,2014-06-05,7.676,9931,621537519,145000000,102
"Like Father, Like Son",2013,2013-09-24,7.675,748,19978961,0,120
Harry Potter and the Order of the Phoenix,2007,2007-07-08,7.675,19992,938212738,150000000,138
Fireproof,2008,2008-09-26,7.672,798,33473297,500000,118
Free Fall,2013,2013-05-27,7.673,813,599721,0,97
Nosferatu,1922,1922-02-16,7.7,2283,19054,0,95
Jaws,1975,1975-06-20,7.673,10846,470653000,7000000,124
October Sky,1999,1999-02-19,7.672,1296,34698685,25000000,108
Scooby-Doo on Zombie Island,1998,1998-09-22,7.7,786,0,0,77
The Young Girls of Rochefort,1967,1967-03-08,7.672,624,0,0,126
The Hustler,1961,1961-09-25,7.672,1010,7600000,2000000,134
High Noon,1952,1952-06-09,7.672,1492,8000000,730000,85
The Blind Side,2009,2009-11-20,7.671,6517,309231694,29000000,129
Shottas,2002,2002-02-27,7.671,345,0,200000,95
Strangers on a Train,1951,1951-06-27,7.67,1754,7000000,1200000,101
Marcel the Shell with Shoes On,2022,2022-06-24,7.669,622,6909209,6000000,90
The Terminator,1984,1984-10-26,7.669,13716,78371200,6400000,108
Harvey,1950,1950-12-04,7.668,642,0,0,104
Inherit the Wind,1960,1960-07-07,7.667,433,2000000,2000000,128
Charade,1963,1963-12-01,7.7,1438,13475000,4000000,113
Mississippi Burning,1988,1988-12-08,7.666,1780,34604000,15000000,128
The Warriors,1979,1979-02-01,7.666,2231,22490039,4000000,94
What's Eating Gilbert Grape,1993,1993-12-17,7.666,4066,10000000,11000000,118
Brazil,1985,1985-02-20,7.666,3437,9900000,15000000,143
The Woman King,2022,2022-09-16,7.665,2177,97300000,50000000,135
"Black Cat, White Cat",1998,1998-06-01,7.668,766,0,0,127
Onward,2020,2020-02-29,7.664,6308,141940042,200000000,102
The Secret World of Arrietty,2010,2010-07-16,7.663,2949,149660003,23000000,94
The World's Fastest Indian,2005,2005-10-12,7.663,803,18300000,25000000,127
The Killing,1956,1956-06-06,7.7,1594,0,320000,85
Tangerines,2013,2013-10-17,7.662,554,0,0,87
Taste of Cherry,1997,1997-09-28,7.661,632,0,0,99
Fabricated City,2017,2017-02-09,7.66,321,0,0,126
12 Angry Men,1997,1997-08-17,7.66,399,2000000,1750000,117
Cast Away,2000,2000-12-22,7.66,11724,429632142,90000000,143
"Quo Vadis, Aida?",2021,2021-02-26,7.659,428,813253,4750000,104
The Traitor,2019,2019-05-23,7.659,1370,0,0,151
Father There Is Only One,2019,2019-08-02,7.658,740,15894372,3400000,95
Lucky and Zorba,1998,1998-12-22,7.658,618,0,0,75
Memoirs of a Geisha,2005,2005-12-06,7.658,3169,162242962,85000000,146
Primal Fear,1996,1996-03-06,7.658,3563,102600000,30000000,129
The Batman,2022,2022-03-01,7.657,11029,772319315,185000000,177
White Heat,1949,1949-09-02,7.657,501,3483000,1300000,114
Captain America: The Winter Soldier,2014,2014-03-20,7.656,19235,714766572,170000000,136
The Conformist,1970,1970-07-01,7.656,708,233493,750000,108
Ask Me If I'm Happy,2000,2000-12-15,7.654,1678,0,0,100
Aladdin,1992,1992-11-25,7.654,11530,504050219,28000000,92
Cat on a Hot Tin Roof,1958,1958-08-29,7.654,785,17570324,3000000,108
Meshes of the Afternoon,1943,1943-01-01,7.653,404,0,275,14
The Big Heat,1953,1953-10-14,7.653,513,0,0,89
Iron Man,2008,2008-04-30,7.653,27099,585174222,140000000,126
F1,2025,2025-06-25,7.656,747,393395000,200000000,156
Hunt for the Wilderpeople,2016,2016-03-31,7.7,2151,23900000,2500000,101
All the President's Men,1976,1976-04-09,7.7,1902,70600000,8500000,138
Three Colors: Blue,1993,1993-09-08,7.651,1761,1527572,0,98
System Crasher,2019,2019-09-19,7.65,350,0,0,118
Berserk: The Golden Age Arc III - The Advent,2013,2013-02-01,7.65,374,399445,0,110
In the Heat of the Night,1967,1967-08-02,7.65,1151,27379978,2000000,109
Ricky Gervais: Humanity,2018,2018-03-13,7.6,477,0,0,79
Kind Hearts and Coronets,1949,1949-06-21,7.649,570,0,0,104
I Vitelloni,1953,1953-09-17,7.648,700,0,0,103
Fantastic Planet,1973,1973-12-01,7.6,1009,0,0,72
Viridiana,1962,1962-04-01,7.646,525,679244,0,90
Planet of the Apes,1968,1968-02-07,7.646,3700,32589624,5800000,112
Breakthrough,2019,2019-04-10,7.645,1115,49200000,14000000,116
Mickey's Christmas Carol,1983,1983-10-19,7.6,940,21000000,3000000,25
Remember the Titans,2000,2000-09-29,7.644,2761,136700000,30000000,113
Atonement,2007,2007-02-27,7.644,4416,131016624,30000000,123
Time of the Gypsies,1988,1988-12-21,7.643,403,0,0,142
All About My Mother,1999,1999-04-16,7.643,1949,67956089,8272296,101
Laurence Anyways,2012,2012-05-18,7.642,870,0,9500000,168
Geri's Game,1997,1997-11-24,7.642,1160,0,0,4
Breakfast at Tiffany's,1961,1961-10-06,7.642,4285,9500000,2500000,115
Godzilla,1954,1954-11-03,7.6,1030,2250000,900000,96
Arsenic and Old Lace,1944,1944-09-01,7.64,976,0,1120175,118
Corpus Christi,2019,2019-09-10,7.64,559,9943901,1300000,116
All the Bright Places,2020,2020-02-28,7.638,2921,0,0,108
The Seed of the Sacred Fig,2024,2024-09-18,7.639,323,6501810,3000000,167
A Dog's Purpose,2017,2017-01-19,7.637,3406,205000000,22000000,100
The Banker,2020,2020-03-06,7.6,1011,0,0,120
Another Round,2020,2020-09-24,7.636,3476,21700000,5150000,117
Roma,2018,2018-11-21,7.6,3968,1140769,15000000,135
The Graduate,1967,1967-12-21,7.636,3469,104945305,3000000,106
Mediterraneo,1991,1991-02-02,7.635,1019,4532791,0,96
My Policeman,2022,2022-10-20,7.634,725,0,0,113
Dave Chappelle: Sticks & Stones,2019,2019-08-26,7.634,335,0,0,65
The Philadelphia Story,1940,1940-12-05,7.634,900,0,0,113
Andhadhun,2018,2018-10-05,7.634,550,40000000,4500000,139
Vampire Hunter D: Bloodlust,2000,2000-08-25,7.634,713,151086,0,103
Kubo and the Two Strings,2016,2016-08-18,7.632,3646,76249438,60000000,102
The Longest Ride,2015,2015-04-09,7.632,3217,63013281,34000000,128
My Friends Act II,1982,1982-12-22,7.632,348,0,0,130
Boogie Nights,1997,1997-10-10,7.632,3277,43101594,15000000,156
Laura,1944,1944-10-11,7.632,838,2000000,1020000,88
Boyz n the Hood,1991,1991-07-12,7.632,2091,57504069,6500000,112
Edge of Tomorrow,2014,2014-05-27,7.631,14282,370541256,178000000,114
The Lost Weekend,1945,1945-11-29,7.631,623,11000000,1250000,101
The Man from Earth,2007,2007-06-10,7.631,2658,0,200000,87
King Richard,2021,2021-11-18,7.63,2624,39400000,50000000,144
Bad Seeds,2018,2018-11-21,7.63,608,0,0,100
Sniper: The White Raven,2022,2022-05-03,7.629,821,881,1000000,120
A Little Princess,1995,1995-05-10,7.629,991,10000000,17000000,97
Threads,1984,1984-09-23,7.6,341,0,420000,117
Fitzcarraldo,1982,1982-03-02,7.6,806,0,7362000,157
The Kissing Booth 2,2020,2020-07-24,7.628,5047,0,0,132
One Cut of the Dead,2017,2017-11-04,7.6,894,27590180,52406,96
Amores Perros,2000,2000-06-16,7.627,2713,20908467,2000000,154
Detachment,2011,2011-04-24,7.626,1797,1681521,0,98
Stagecoach,1939,1939-03-02,7.626,1160,1103757,531374,96
Kingsman: The Secret Service,2015,2015-01-24,7.625,17163,414351546,81000000,129
I'm Starting from Three,1981,1981-03-05,7.625,684,0,0,107
"Miraculous: Ladybug & Cat Noir, The Movie",2023,2023-07-05,7.624,912,40208268,86000000,100
Mad Max: Fury Road,2015,2015-05-13,7.624,23204,378858340,150000000,121
Eddie Murphy: Delirious,1983,1983-10-15,7.624,330,0,0,69
The Tenant,1976,1976-05-26,7.6,1164,5100000,0,126
Entergalactic,2022,2022-09-28,7.623,416,0,0,93
Deadpool,2016,2016-02-09,7.6,31724,782837347,58000000,108
The Ultimate Gift,2007,2007-03-09,7.623,466,3438735,0,114
The Turin Horse,2011,2011-03-31,7.6,380,162088,1000000,155
Le Cercle Rouge,1970,1970-10-19,7.622,675,0,0,140
Mira,2022,2022-12-22,7.621,355,0,6042800,110
The Eight Mountains,2022,2022-12-21,7.621,757,9494985,0,147
Lilya 4-ever,2002,2002-08-23,7.6,596,1007747,2700000,109
Being There,1979,1979-12-19,7.621,1035,30177511,0,130
The Spirit of the Beehive,1973,1973-10-08,7.621,365,0,0,97
The Super Mario Bros. Movie,2023,2023-04-05,7.62,9811,1362000000,100000000,93
The Last Picture Show,1971,1971-10-03,7.62,721,29133000,1300000,119
Mildred Pierce,1945,1945-10-20,7.62,411,5638000,1453000,111
"tick, tick... BOOM!",2021,2021-11-11,7.621,2162,0,0,115
Get Out,2017,2017-02-24,7.619,17968,255407969,4500000,104
Drishyam,2015,2015-07-30,7.619,433,18000000,4600000,163
Victoria,2015,2015-06-11,7.619,1253,3191971,0,138
Maurice,1987,1987-09-18,7.62,563,2438304,2600000,140
Out of the Past,1947,1947-11-25,7.619,612,0,0,97
Girl in the Basement,2021,2021-02-27,7.618,763,0,0,88
Il Divo,2008,2008-05-28,7.618,1141,11260366,7275000,113
The Servant,1963,1963-11-14,7.617,351,0,0,116
Night of the Living Dead,1968,1968-10-04,7.617,2549,30000000,114000,96
Elevator to the Gallows,1958,1958-01-29,7.617,640,263404,0,91
Arrival,2016,2016-11-10,7.616,18369,203388186,47000000,116
The Others,2001,2001-08-02,7.615,6748,210002906,17000000,104
Harold and Maude,1971,1971-12-20,7.6,1128,0,1200000,91
Groundhog Day,1993,1993-02-11,7.616,8331,71108778,14600000,101
The Anthem of the Heart,2015,2015-09-19,7.62,408,8852989,0,119
Battleship Potemkin,1925,1925-12-24,7.6,1215,45100,0,75
Elemental,2023,2023-06-14,7.613,4862,496444308,200000000,102
Guardians of the Galaxy Vol. 2,2017,2017-04-19,7.613,22085,863756051,200000000,137
Avatar: The Way of Water,2022,2022-12-14,7.6,12671,2320250281,460000000,192
Blue Velvet,1986,1986-09-19,7.612,3527,8636706,6000000,120
"Steamboat Bill, Jr.",1928,1928-05-09,7.611,359,0,0,70
Eat Drink Man Woman,1994,1994-08-03,7.611,360,24194403,0,123
Anastasia,1997,1997-11-20,7.611,5395,139804348,53000000,94
The Sicilian Clan,1969,1969-12-05,7.611,338,0,19000000,121
